Date,ElectronicArts,Nintendo,Activision,Sony_Computer_Entertainment,Take_Two_Interactive
1985,0,0,0.03,0,0
1988,0,0,0,0,0
1992,0,0,0,0,0
1994,0,0,0,1.27,0
1996,0,0,1.59,7.66,0
1997,0,0,1.99,22.79,0
1998,2.67,0,0.05,15.67,3.42
1999,3.08,0,5.02,17.84,0
2000,16.8,0,9.94,11.05,4.62
2001,37.62,33.27,16.45,40.04,19.78
2002,66.72,27.72,20.92,19.97,18.19
2003,67.86,19.14,20.97,15.13,5.81
2004,62.3,30.77,36.8,25.29,23.92
2005,59.49,94.52,26.64,22.2,21.78
2006,47.99,177.06,15.27,23.32,19.91
2007,67.01,92.49,51.98,25.15,17.62
2008,69.56,82.63,53.18,18.63,41.56
2009,70.86,103.35,58.4,26.11,11.76
2010,70.86,37.81,47.79,30.21,26.72
2011,54.15,37.01,40.79,22.32,14.98
2012,42.25,44.63,47.44,7.76,20.37
2013,50.45,23.05,38.2,11.27,51.34
2014,30.29,21.41,23.49,8.02,28.02
2015,23.54,21.42,7.33,10.15,12.29
2016,25.05,3.21,11.47,6.25,8.08